Gene	X10.1.c	X19.1.c	X10.2.d	X10.3.c	X11.1.a	X11.2.d	X11.3.b	X1.1.d	X12.1.d	X12.2.b	X13.1.a	X13.2.c	X13.3.b	X13.4.a	X13.5.c	X1.3.d	X14.1.b	X14.2.c	X14.3.d	X14.4.a	X14.5.b	X14.6.d	X14.7.c	X1.4.d	X15.2.d	X15.3.b	X15.4.d	X15.5.b	X15.6.c	X1.5.c	X16.1.d	X17.1.a	X17.2.d	X17.4.a	X17.5.b	X18.1.d	X18.2.d	X18.3.d	X18.4.c	X18.6.d	X19.2.c	X19.3.c	X19.4.b	X19.5.b	X20.1.d	X20.2.d	X20.3.c	X20.4.c	X21.1.d	X21.2.d	X21.3.d	X21.4.d	X21.5.c	X22.2.d	X22.3.b	X22.4.d	X22.5.d	X2.2.d	X23.3.d	X23.5.d	X2.3.d	X25.1.d	X2.4.a	X24.1.d	X25.3.d	X25.4.d	X2.5.d	X26.1.d	X26.2.d	X2.6.d	X3.1.d	X3.3.d	X3.4.d	X3.5.d	X4.1.c	X4.3.d	X4.4.d	X5.1.d	X5.2.d	X5.3.d	X5.4.d	X5.5.d	X6.1.d	X6.2.b	X6.3.c	X6.4.d	X6.5.d	X6.6.d	X6.7.d	X7.1.d	X7.2.c	X7.3.d	X7.4.c	X7.5.d	X7.6.c	X7.7.c	X7.8.d	X8.1.a	X8.2.d	X8.3.a	X8.4.c	X8.5.b	X8.6.c	X8.7.b	X9.1.d	X9.2.d	X9.3.d	X9.4.d	X9.5.d	X9.6.d	X9.7.d
YKR009C	0.01102	-0.05747	0.04813	0.2766	0.01853	0.33908	0.2032	0.81118	0.03707	0.37973	0.44454	-0.02103	-0.15184	0.02868	0.73045	0.07301	0.03309	-0.13421	0.50237	0.28437	-0.01661	-0.11182	0.25394	-0.12176	-0.27551	0.37244	0.00311	0.0219	0.75523	0.01847	0.11265	-0.09123	0.13362	0.07575	0.05417	0.02711	-0.21036	0.1346	0.13526	0.31203	0.13733	0.14439	-0.32889	0.1218	0.30571	0.06654	-0.00931	0.13143	-0.44234	0.5391	0.36974	0.00876	0.31364	0.27711	0.26016	-0.00279	0.0321	0.73442	0.71249	0.05396	-0.02915	-0.00692	0.39264	0.01041	-0.00863	0.06237	-0.06666	0.31509	0.0708	0.27229	0.06778	-0.16712	-0.20893	0.04395	0.8956	-0.27448	0.35373	-0.00948	0.11035	0.09944	0.13364	-0.03332	0.1105	0.15074	-0.05905	0.45579	0.56768	0.09768	-0.0989	0.10139	0.1305	0.041	0.05265	0.25626	-0.08018	0.28965	-0.09398	0.06233	-0.12898	0.30892	0.15694	0.79515	-0.09265	0.17695	0.31824	0.13353	0.27749	0.60717	-0.14378	0.02415	0.63016
YFR022W	0.04537	-0.23707	-0.20142	0.28188	0.06903	-0.21079	-0.49757	-0.14232	-0.50027	0.07448	-0.14714	-0.23319	-0.15544	0.04601	0.00296	-0.14025	-0.32177	-0.42724	0.17506	0.11443	0.11221	-0.25627	-0.09901	-0.53254	0.05614	0.25369	0.00694	-0.2283	0.79769	-0.52455	-0.47736	-0.68628	-0.25302	-0.27714	0.06342	-0.15728	0.12627	-0.1478	-0.26216	0.69694	-0.14857	-0.24033	-0.38445	-0.1876	0.08887	-0.36217	0.0284	-0.11882	0.1125	0.70666	-0.38309	-0.33685	0.35559	-0.06367	-0.1327	0.00971	0.27473	-0.13774	0.64261	0.00497	-0.37365	-0.20329	-0.369	-0.31805	-0.10145	-0.21512	-0.19338	0.12627	-0.15233	-0.08254	-0.03332	-0.50707	-0.07106	-0.17827	-0.18002	-0.69635	-0.19548	-0.24401	-0.68335	-0.23752	-0.53597	-0.53723	-0.43374	-0.16405	-0.26431	-0.09884	0.10802	-0.27594	-0.15091	-0.17198	-0.33744	-0.20791	0.11345	0.06943	0.52638	0.14455	-0.63857	0.28469	-0.22019	-0.18924	0.33395	-0.26893	0.02947	-0.07582	0.05446	0.49168	-0.01579	0.11177	0.05261	0.03523	0.57591
YPL265W	0.8077	-0.16307	-0.73158	-0.32415	-0.62913	-0.35452	-0.16734	-0.23625	1.24246	-0.3421	1.18115	0.19032	-0.34386	-0.41495	-0.50214	-0.07799	0.67042	-0.1947	0.53182	0.09275	0.12527	0.43543	0.89204	-0.39618	-0.38999	-0.51176	-0.05306	0.67275	-0.66287	-0.15438	-0.32582	-0.17928	-0.55654	-0.49793	-0.24252	-0.18864	0.22834	0.29538	-0.66848	0.56753	-0.2155	0.23299	0.10473	-0.75166	0.19542	0.49006	-0.54184	-0.63817	0.62035	1.19641	-0.38303	-0.32233	-0.71959	0.02514	0.98322	-0.24982	-0.15375	-0.72267	-0.93259	-0.10968	-0.23495	0.00653	-0.28409	-0.41491	0.44011	-0.12185	-0.14097	0.90141	0.47386	-0.47531	-0.14356	0.03684	0.06618	-0.13115	1.08822	0.15225	-0.92288	-0.32644	-0.05468	-0.34536	-0.12512	-0.06921	-0.60179	-0.40075	-0.27072	0.1523	-0.19926	0.03174	-0.08948	-0.28506	-0.0341	0.22848	-0.287	0.80263	-0.14606	-0.51529	-0.60128	1.12027	-0.49645	-0.41587	0.33693	0.0445	0.68951	-0.31251	0.6909	-0.33314	0.6957	0.09501	-0.51319	0.9689	0.22597
YOR100C	-0.11076	0.10661	-0.35876	0	0.18562	0.58985	-0.21117	0.52583	0.05488	0.0181	0.87032	-0.25762	-0.24152	-0.01646	0.7353	0	0.55302	-0.01737	1.25342	1.04459	-0.07589	0.57001	0.57013	-0.32458	-0.16851	1.03302	-0.31526	0.95289	0.78723	-0.16808	0.00679	-0.00649	0	0.22708	0.162	0.02248	-0.08262	0.47346	-0.00762	0.73683	-0.24871	-0.34583	-0.62153	-0.30499	-0.21727	0.29203	0.08513	0	-0.07253	1.4404	-0.18949	-0.04092	1.32336	0.66612	0.77981	0.17063	0.50351	0.17124	0	0	-0.29163	0.14866	0.23404	-0.00336	0.43617	0.10007	-0.15722	0.91386	-0.0784	-0.03653	0.17708	-0.29453	0.24877	-0.17634	1.4008	-0.40539	0.69311	0.19035	0.09768	-0.28809	0.03988	-0.45471	0.03443	-0.13294	-0.27079	0.41741	1.13245	0.11487	0.16249	0.00968	0.28194	0.0082	-0.24613	1.23623	-0.35259	0.07516	0	0	0.50665	0.03434	1.30888	0.22587	0.15226	-0.20193	0.54116	0	0.49407	2.11292	-0.13612	1.2967	0.42142
YOR348C	0.02711	0.09413	0.65548	3.69714	1.40938	0.87958	1.35289	3.13247	0.75786	1.00314	1.81383	0.06933	0.18993	0.16899	2.42549	2.1932	1.54675	1.2981	2.37639	2.36746	0.15783	-0.00365	2.73423	0.2092	0.424	4.29059	0.03752	0.55164	0.47961	1.43931	0.52997	-6e-05	0.05073	1.32708	3.81866	0.61988	0.83347	1.85633	1.02317	0.74937	1.60563	1.09784	-0.15311	1.96831	0.94398	1.08619	1.15322	0.64038	0.02507	3.87349	0.61198	3.5799	2.32163	3.96023	0.7045	2.3575	0.58021	2.53734	0	2.17208	1.6221	1.29315	4.57936	1.46267	0.78316	0.51984	0.25388	2.92441	-0.5744	1.31911	1.1459	2.32312	0.44407	1.90396	-0.17141	0.97174	2.15648	1.59062	3.17001	1.48481	1.58721	1.33503	2.8639	2.22629	0.18722	3.91749	7.09384	0.3433	0.48015	1.11285	4.17156	0.3166	0.37565	1.61756	0.78898	2.60615	-0.05983	0.60616	1.92442	0.24881	4.39135	0.75839	2.33693	0.7205	1.08739	0.44728	6.80108	4.61179	0.09996	2.69017	2.21941
YHL028W	-1.90253	-1.76919	-0.75104	0.63903	-0.30585	0.33868	-1.90299	-0.54775	-0.61925	-0.16553	0.47299	-1.70552	-0.5075	0.26091	0.08413	-1.59432	-1.54037	-0.32648	0.10446	0.04244	-0.96623	-1.83591	-1.64693	-1.65757	-0.35629	-0.85114	-1.02318	-1.13562	-0.15337	-0.28859	-0.59984	-1.4439	-1.77019	-0.82547	-0.83255	-2.12551	-0.27502	-0.54395	-1.29092	0.29039	0.35188	-0.24968	-2.70863	-0.02622	-0.78827	-2.25351	0.90281	-0.77787	0.03997	0.25736	0.32605	0.3621	0.32614	0.21511	-1.27365	0.37498	0.11274	-0.34008	0.04633	-0.0333	0.03688	0.25575	-0.09085	-0.16151	0.15764	0.28311	-0.50349	0.15454	-0.00822	-0.35773	0.13863	-1.41185	-0.03457	-0.19696	-1.26939	-2.7596	0.25457	-0.76612	-1.20998	-0.63843	-0.39913	-0.66068	-0.96223	0.12542	-1.34961	-0.50759	-0.53831	0.34975	-0.9262	-0.01239	0.24864	-0.7286	-0.26722	-0.0731	-0.60578	-0.04682	-1.37472	0.00728	-1.34876	-0.07235	-0.0748	-1.25162	-0.01596	-1.13459	-0.15195	0.46801	-0.50548	-0.86365	-1.10038	-1.85119	0.94188
YGR067C	-0.08846	-0.23652	-0.34739	0	-0.40281	0.04069	-0.33253	0.0368	-0.11427	-0.11846	0.19913	-0.15263	-0.72638	-0.31287	0.23486	-0.43935	-0.32313	-0.45417	0.65834	-0.00857	-0.08562	-0.16465	-0.05846	-0.52443	-0.26741	-0.20055	-0.59726	-0.00624	0.22404	-0.22995	-0.51426	-0.24212	-0.11734	-0.29281	-0.00891	0.02664	-0.5408	0.13016	-0.0764	0.01743	0.05771	-0.17808	-0.23106	-0.42574	-0.0735	-0.2451	-0.00283	-0.11285	-0.40456	0.15214	0.10319	-0.16136	0.217	0.14588	-0.00425	0.00033	-0.2648	-0.21297	0	0.03314	-0.25573	-0.23995	-0.18731	-0.45011	-0.42351	-0.28225	-0.11513	-0.08739	-0.17075	-0.13919	0.00036	-0.35307	-0.11213	-0.24834	-1.34847	-0.55679	-0.11956	-0.20253	-0.43941	0.06285	-0.17376	-0.49605	-0.08639	-0.19644	-0.05855	-0.10355	0.131	-0.22609	0.32181	-0.20312	-0.0521	-0.14338	-0.11447	0.47981	-0.41446	-0.31926	-0.60725	-0.1741	-0.40902	-0.00718	0.01441	0.18988	-0.15176	-0.12295	-0.17154	-0.41565	-0.07086	0.1718	-0.46374	0.36493	0.72197
YLL011W	-0.05645	-0.19675	-0.09929	-0.29481	0.0852	-0.53244	-0.06769	-0.48018	0.18797	-0.39511	-0.01226	-0.20094	0.49047	-0.53372	-0.46735	-0.05875	-0.04317	0.15741	-0.2578	-0.25724	-0.21696	0.09661	-0.04198	-0.00352	0.02073	-0.31557	0.04861	0.01289	-0.62928	0.02795	-0.07843	0.00139	-0.44097	0.20268	-0.00533	0.0389	-0.04097	-0.01803	-0.18404	-0.10935	0.26587	-0.17903	0.42091	-0.05785	-0.29519	0.15723	-0.05617	0.02016	-0.15064	-0.48289	-0.40943	-0.20701	-0.78299	-0.30392	0.11962	-0.05285	-0.12828	-0.54885	-0.85279	-0.12118	-0.16533	0.09691	-0.30037	-0.42745	0.25956	-0.36494	0.07107	-0.2621	0.21201	0.02689	-0.14583	0.15934	0.02856	0.18042	-0.01501	0.18588	-0.58274	0.03967	0.22825	-0.36735	-0.13004	0.39239	-0.17309	0.10011	0.44763	-0.06353	-0.09007	0.20039	0.24081	0.21498	0.01164	-0.17062	-0.05037	-0.37256	0.00664	-0.21744	0.18761	-0.27889	0.13073	-0.54752	-0.04303	-0.47804	0.13558	-0.20645	-0.0958	-0.67306	0.0017	-0.1926	0.0079	-0.25298	-0.82113
YPL036W	0.57831	0.12948	0.02468	0.43639	0.03735	0.06138	-0.23571	0.03134	-0.09403	-0.15015	0.35064	0.40876	-0.1244	0.97214	0.65684	0.03741	-0.36337	0.18892	0.31239	0.17352	0.0344	-0.19805	0.54085	0.28601	-0.02809	-0.36833	-0.23997	0.0763	0.63114	0.27453	0.26711	-0.25552	-0.29779	-0.23547	0.11916	0.25487	0.03999	0.64493	0.0433	0.23097	0.32354	0.12111	-0.30613	0.18521	0.15604	-0.0631	0.26721	0.23334	0.5505	0.52487	-0.0914	-0.05065	0.07683	0.31193	0.15681	0.3771	0.40435	0.16345	0.30728	0.23609	0.30207	-0.1959	0.33093	-0.19819	0.14789	0.39006	0.37537	0.25023	-0.08781	-0.10268	0.47242	-0.0371	-0.20757	-0.08179	-0.08373	0.13409	-0.01483	0.14939	-0.28772	0.05854	-3e-05	-0.38721	0.13955	-0.073	0.23193	-0.13774	0.26503	0.40201	-0.11969	0.49429	0.12934	0.08831	0.14464	0.18749	-0.04966	-0.23363	-0.05409	0.38679	0.00146	0.20119	-0.15618	0.18318	0.17836	0.58215	0.04588	0.00036	-0.05456	0.32679	0.33389	-0.38852	0.08021
YAL054C	-0.05965	-0.0309	0.15396	0	0.03138	0.97248	-0.19091	0.45498	0.11951	0.45911	1.251	-0.1747	-0.42672	-0.10582	0.5459	0.19339	0.13366	0.00905	0.89475	0.78373	0.19371	-0.09582	0.87926	-0.13979	-0.16741	0.60755	-0.61438	-0.27987	0.60735	-0.14507	0.356	0.27497	0.15691	0.29028	-0.08041	-0.09618	-0.57712	0.3877	0.06347	0.46798	0.04648	-0.12586	-0.34474	0.16964	0.6842	-0.03904	0.08784	-0.05137	-0.6882	1.09695	-0.15459	-0.16834	0.79589	0.28912	0.45208	0.03597	0.29053	-0.12412	0.31066	0	0.28997	-0.37476	0.0401	0.02271	0.15857	0.42728	0.22755	0.94032	0.33121	-0.1144	0.58186	0.28183	0.13925	-0.13397	2.04214	-0.3196	1.09792	0.10144	-0.37354	0.19929	0.42388	-0.39287	0.00064	0.39707	0.11901	0.6986	0.82389	-0.0765	-0.17	0.24346	0.18275	0.03317	-0.07404	1.33275	-0.329	-0.27975	-0.21396	0	0.32323	0.88506	1.06812	0.53114	0.00215	0.57631	0.34624	0.22219	0.66653	0.26917	-0.01619	-0.08018	0.44643
